asv,domain,domain_conf,phylum,phylum_conf,class,class_conf,order,order_conf,family,family_conf,genus,genus_conf
ccac83126723f6f17cd2509cd69bacdb,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Erysipelotrichaceae_incertae_sedis,0.91
f18fb5fc94c12a72c34c6ea7c46ced05,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,1
0e32600d9ce198d8b4db5ae1a9c9a693,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Lactobacillaceae,1,Lactobacillus,1
2b33470dd62fd43d6f99348c842170fc,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Bifidobacteriales,1,Bifidobacteriaceae,1,Bifidobacterium,1
d594a0de704afaf4e41a051c1ae8a597,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Aeromonadales,1,Succinivibrionaceae,1,Succinivibrio,1
adf060f30d91c510369fb0a01fad79de,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,1
9efb600a2134f80bb6cc8d9082bd53de,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,0.99,Prevotella,0.99
9ba313c3946a913e344691c9885caf26,Bacteria,1,Bacteroidetes,1,NA,0.67,NA,0.67,NA,0.54,NA,0.33
ba1610393272d8f099ddef4ae0e327bc,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Aeromonadales,0.99,Succinivibrionaceae,0.99,NA,0.73
ebbfff4f53bee0e6e65f6eb1808c71e9,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Lactobacillaceae,1,Lactobacillus,1
d10ace4dbd6a4ae49e681ad24e0c3df1,Bacteria,1,Bacteroidetes,1,NA,0.58,NA,0.58,NA,0.2,NA,0.2
8de3ae0b0700ddf3380ae5fa7bd240af,Bacteria,1,Bacteroidetes,0.99,NA,0.6,NA,0.6,NA,0.14,NA,0.14
d01def8de9d83d9bff16ac8fe47cf4d1,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,0.98,Prevotella,0.96
6df4e62f3185ee8ba842ce3cee6dce3e,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Streptococcaceae,1,Streptococcus,1
b68f61951e5745e3a5b0ed2275e6afff,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Lactobacillaceae,1,Lactobacillus,1
d00a3113d20af2016cbd40ddf3337231,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Bifidobacteriales,1,Bifidobacteriaceae,1,Bifidobacterium,1
a89c6a8aab4eede38e4e0b5f1b4848ae,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,1
e62c9128d4169fbdbdf1daa802527616,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Lactobacillaceae,1,Lactobacillus,1
fd9c1527d0d0ce35132bdf6aff546f68,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,0.94
f4958a17c134748048b04ab1ad8e37c9,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Coriobacteriales,1,Coriobacteriaceae,1,Olsenella,1
