ASV	SRR10244786	SRR10244787	SRR10244788	SRR10244789	SRR10244790	SRR10244791	SRR10244792	SRR10244793	SRR10244794	SRR10244795	SRR10244797	SRR10244798	SRR10244799	SRR10244800	SRR10244801	SRR10244802	SRR10244803	SRR10244804	SRR10244877	SRR10244878	SRR10244879	SRR10244880	SRR10244881	SRR10244882	SRR10244884	SRR10244885	SRR10244886	SRR10244887	SRR10244888	SRR10244889	SRR10244890	SRR10244891	SRR10244892	SRR10244893	SRR10244895	SRR10244896	SRR10244897	SRR10244898	SRR10244899	SRR10244900	SRR10244901	SRR10244902	SRR10244903	SRR10244904	SRR10244906	SRR10244907	SRR10244908	SRR10244909	SRR10244910	SRR10244911	SRR10244912	SRR10244913	SRR10244914	SRR10244915	SRR10244917	SRR10244918	SRR10244919	SRR10244920	SRR10244921	SRR10244922	SRR10244923	SRR10244924	SRR10244925	SRR10244926	SRR10244928	SRR10244929	SRR10244930	SRR10244931	SRR10244932	SRR10244933	SRR10244934	SRR10244935	SRR10244936	SRR10244937	SRR10244939	SRR10244940	SRR10244941	SRR10244942	SRR10244943	SRR10244944	SRR10244945	SRR10244946	SRR10244947	SRR10244948
3bc64d41f6776c09b5dfcf83f7d7548d	5221	17	3293	0	0	12	0	37	70373	37545	21977	177	249	64	31470	26	339	46	0	3932	0	0	0	3217	0	0	0	0	23	23	0	0	15151	0	12	0	8	2545	193	11	0	4044	3878	13403	9	311	0	0	0	0	12238	45	9997	3402	4	0	97	42	77	0	0	0	0	0	0	0	15043	148	0	222	60	12353	135	309	58	134	22	13	319	0	22	3557	0	0
65d0d8f10de1b604fffb5793babb99f2	534	24719	548	26	5	26925	121	725	8877	318	1702	1864	10657	11	5879	6421	9124	220	0	3481	1396	466	20	56	438	34	0	7942	3325	4519	3850	7559	438	8	0	2	13901	272	3245	2294	0	363	1671	193	6	400	6	0	1956	3250	1836	728	1357	751	98	3630	1216	6412	688	2864	5150	32	24	13	7	7605	3967	7576	8358	8832	26	349	685	14417	11	35	9541	50	730	7	28	1574	14618	4667
28accfdb530ee5a5dc1621ae618209fb	1908	7512	330	0	0	0	479	24	11637	7962	3080	1380	6489	23	11776	4620	7831	3132	0	2103	4557	0	4991	263	3818	18	0	2421	2105	928	0	6	15384	4959	9	77	0	162	1696	7866	0	1436	262	2803	0	776	1180	0	0	2520	2335	1703	426	697	8492	7230	1277	1620	35991	5711	7298	3	29	3	0	1180	1439	2012	0	11690	4351	11632	23	3503	12	11768	38	29	895	1249	5	322	1541	9
67b66aaed1a02438245a61335ca62b16	177	45	0	0	0	0	2180	545	0	0	17	104	27	0	0	1268	0	7059	1018	2374	706	202	1989	0	749	220	0	1450	2711	177	285	979	25	4858	11	76	20197	0	66	0	0	46	0	0	0	403	242	0	0	170	5	0	11	127	66	711	0	5969	206	1292	10837	107	173	1092	0	1081	0	12241	48195	18021	2294	0	1065	1066	0	19107	3500	2731	1342	793	16	0	108	4026
3fc177870287a8040862df03fe9726bf	43	101	0	27	0	32	1362	364	13	0	0	32	0	23	8	148	0	3232	2156	1718	75	219	8068	0	403	578	366	607	1355	170	14256	8496	0	1221	0	0	164	0	0	0	0	0	0	0	0	0	144	0	0	0	0	169	0	99	3056	139	11	4566	7194	1129	2096	287	701	990	21	169	0	3388	335	3542	14571	103	44999	562	489	3746	32334	6055	74	252	0	0	35	10040
5d134e5d069d93e20b18f4c8a052136f	12	0	0	5	0	0	5	31	1833	249	3917	2243	51	12	20988	10844	24166	9	0	5635	5223	0	0	12	0	26	0	2796	4	0	5	0	2146	0	0	0	0	0	888	8	0	0	71	39	0	0	0	0	0	0	116	1396	365	1119	0	2535	7	21301	27	0	21684	3	160	114	0	8162	330	17	0	34290	17	1758	0	27	13	0	16	170	0	0	0	433	0	0
5ecb8350596f2e986676c8c396a2d80a	146	5	239	6	0	31	0	23	10518	21011	11250	13232	26558	30	3782	0	21212	0	0	459	0	0	0	1917	0	13	0	0	5	0	8	0	4732	0	3	0	0	404	10772	8	8	32	0	9081	0	1774	0	0	87	0	1848	3991	4409	676	0	4	5298	14	32	3	0	6	0	27	0	0	2019	26	0	36	39	3621	11	24	10	43	0	0	8188	6	12	145	0	11
573f70c6485df52cf268aa3a8ad15e2e	1461	9798	45	0	0	589	508	9278	1642	1367	1299	3547	1842	0	2578	1331	2606	1434	0	2542	1110	2950	5633	81	114	0	0	485	2678	8	8	1225	1954	0	0	13	0	56	3032	3277	15	599	25	599	0	211	36	0	1423	0	339	569	424	533	3404	934	586	4513	11730	74	2057	91	14	18	0	688	306	5999	16	3522	8631	1520	23	10545	0	24	7033	57	1120	31	0	63	0	2026
710ca73bba83b4c075e9db95257652b6	0	21	10	33	0	14404	55	31500	0	13	34	10	0	18	45	4411	17	145	0	0	2427	10432	0	0	10	0	0	0	5	49	0	0	0	0	5	73	5231	0	0	0	0	0	7	0	0	102	287	0	5345	0	0	0	6	9	0	5369	0	10	17	343	0	20	0	0	0	3014	0	0	11307	0	20	25	0	31515	17	26	37	45	265	445	17	13	0	57
b40e3241a1c689ee9dc1b8df4035342d	143	3	448	0	0	1201	279	4718	13364	3627	3580	2205	2833	9	1839	468	1037	717	0	293	367	3219	0	520	835	297	0	2368	9068	2575	25	6	3587	1994	6	0	2980	186	3375	6	6	116	556	1689	4	1088	7	0	449	306	1913	632	2628	110	83	628	1166	18	385	1410	2872	416	44	91	0	596	4205	3853	1583	5288	9	2587	23	5104	14	3688	0	0	942	8	0	397	1395	0
