Run,Treatment_and_Replicate
SRR7627913,C1_biological replicate 1
SRR7627908,C1_biological replicate 10
SRR7627886,C1_biological replicate 11
SRR7627887,C1_biological replicate 12
SRR7627888,C1_biological replicate 13
SRR7627889,C1_biological replicate 14
SRR7627890,C1_biological replicate 15
SRR7627891,C1_biological replicate 16
SRR7627892,C1_biological replicate 17
SRR7627893,C1_biological replicate 18
SRR7627884,C1_biological replicate 19
SRR7627914,C1_biological replicate 2
SRR7627885,C1_biological replicate 20
SRR7627902,C1_biological replicate 21
SRR7627901,C1_biological replicate 22
SRR7627904,C1_biological replicate 23
SRR7627903,C1_biological replicate 24
SRR7627898,C1_biological replicate 25
SRR7627897,C1_biological replicate 26
SRR7627900,C1_biological replicate 27
SRR7627899,C1_biological replicate 28
SRR7627906,C1_biological replicate 29
SRR7627915,C1_biological replicate 3
SRR7627905,C1_biological replicate 30
SRR7627937,C1_biological replicate 31
SRR7627938,C1_biological replicate 32
SRR7627935,C1_biological replicate 33
SRR7627936,C1_biological replicate 34
SRR7627933,C1_biological replicate 35
SRR7627934,C1_biological replicate 36
SRR7627931,C1_biological replicate 37
SRR7627932,C1_biological replicate 38
SRR7627940,C1_biological replicate 39
SRR7627916,C1_biological replicate 4
SRR7627941,C1_biological replicate 40
SRR7627909,C1_biological replicate 5
SRR7627910,C1_biological replicate 6
SRR7627911,C1_biological replicate 7
SRR7627912,C1_biological replicate 8
SRR7627907,C1_biological replicate 9
SRR7627807,C2_biological replicate 1
SRR7627812,C2_biological replicate 10
SRR7627930,C2_biological replicate 11
SRR7627928,C2_biological replicate 12
SRR7627939,C2_biological replicate 13
SRR7627814,C2_biological replicate 14
SRR7627917,C2_biological replicate 15
SRR7627881,C2_biological replicate 16
SRR7627894,C2_biological replicate 17
SRR7627929,C2_biological replicate 18
SRR7627830,C2_biological replicate 19
SRR7627806,C2_biological replicate 2
SRR7627831,C2_biological replicate 20
SRR7627843,C2_biological replicate 21
SRR7627842,C2_biological replicate 22
