Calf,Sex,Diet,Time,Days,Sample
5019,F,C,4w,25,F
5039,F,B,4w,25,F
4971,M,A,2w,12,F
5019,F,C,2w,12,F
5027,F,B,2w,17,F
5028,F,C,2w,14,F
5031,F,A,2w,15,F
5034,F,B,2w,12,F
5039,F,B,2w,16,F
5041,F,A,2w,11,F
5044,F,B,2w,11,F
5053,F,A,2w,11,F
5054,F,C,2w,12,F
5055,F,C,2w,14,F
5057,F,B,2w,11,F
5058,F,A,2w,11,F
4924,M,A,8w,54,F
4924,M,A,8w,58,L
4924,M,A,8w,58,S
4925,M,B,8w,54,F
4925,M,B,8w,58,L
4925,M,B,8w,58,S
4926,M,C,8w,54,F
4926,M,C,8w,58,L
4926,M,C,8w,58,S
4954,M,B,8w,53,F
4954,M,B,8w,56,L
4954,M,B,8w,56,S
4955,M,C,8w,54,F
4955,M,C,8w,55,L
4955,M,C,8w,55,S
4956,M,A,8w,54,F
4956,M,A,8w,55,L
4956,M,A,8w,55,S
4970,M,C,8w,56,F
4970,M,C,8w,68,L
4970,M,C,8w,68,S
4971,M,A,8w,56,F
4971,M,A,8w,62,L
4971,M,A,8w,62,S
4973,M,B,8w,55,F
4973,M,B,8w,61,L
4973,M,B,8w,61,S
5013,F,C,8w,54,F
5015,F,B,8w,55,F
5017,F,A,8w,53,F
5019,F,C,8w,55,F
5020,F,A,8w,54,F
5022,F,B,8w,54,F
5025,F,C,8w,53,F
5026,F,A,8w,53,F
5027,F,B,8w,56,F
5028,F,C,8w,56,F
5031,F,A,8w,53,F
5032,F,B,8w,53,F
5034,F,B,8w,53,F
5035,F,C,8w,54,F
5037,F,A,8w,54,F
5038,F,C,8w,54,F
5039,F,B,8w,54,F
5041,F,A,8w,54,F
5042,F,C,8w,53,F
5044,F,B,8w,53,F
5045,F,A,8w,55,F
5047,F,C,8w,55,F
5048,F,B,8w,54,F
5050,F,B,8w,53,F
5051,F,C,8w,53,F
5052,F,B,8w,57,F
5053,F,A,8w,55,F
5054,F,C,8w,54,F
4924,M,A,4w,29,F
4925,M,B,4w,27,F
4926,M,C,4w,27,F
4954,M,B,4w,25,F
4955,M,C,4w,25,F
4956,M,A,4w,25,F
4970,M,C,4w,25,F
4971,M,A,4w,28,F
4973,M,B,4w,27,F
5013,F,C,4w,28,F
5015,F,B,4w,26,F
5017,F,A,4w,26,F
5020,F,A,4w,27,F
5022,F,B,4w,27,F
5025,F,C,4w,25,F
5026,F,A,4w,26,F
5027,F,B,4w,25,F
5028,F,C,4w,28,F
5031,F,A,4w,27,F
5032,F,B,4w,26,F
5034,F,B,4w,25,F
5035,F,C,4w,25,F
5037,F,A,4w,25,F
5038,F,C,4w,25,F
5041,F,A,4w,25,F
5042,F,C,4w,27,F
5044,F,B,4w,25,F
5045,F,A,4w,25,F
5046,F,A,4w,25,F
5047,F,C,4w,26,F
5048,F,B,4w,25,F
5049,F,A,4w,26,F
5050,F,B,4w,27,F
5051,F,C,4w,27,F
5052,F,B,4w,25,F
5053,F,A,4w,27,F
5054,F,C,4w,26,F
5055,F,C,4w,26,F
5057,F,B,4w,25,F
5058,F,A,4w,25,F
5059,F,C,4w,25,F
5062,F,B,4w,29,F
5063,F,A,4w,28,F
5015,F,B,2yr,827,F
5017,F,A,2yr,930,F
5017,F,A,2yr,929,L1
5017,F,A,2yr,930,L2
5017,F,A,2yr,931,L3
5017,F,A,2yr,929,S1
5017,F,A,2yr,930,S2
5017,F,A,2yr,931,S3
5019,F,C,2yr,854,F
5019,F,C,2yr,853,L1
5019,F,C,2yr,854,L2
5019,F,C,2yr,855,L3
5019,F,C,2yr,853,S1
5019,F,C,2yr,854,S2
5019,F,C,2yr,855,S3
5020,F,A,2yr,895,F
5022,F,B,2yr,805,F
5022,F,B,2yr,804,L1
5022,F,B,2yr,805,L2
5022,F,B,2yr,806,L3
5022,F,B,2yr,804,S1
5022,F,B,2yr,805,S2
5022,F,B,2yr,806,S3
5026,F,A,2yr,803,F
5027,F,B,2yr,892,F
5028,F,C,2yr,855,F
5031,F,A,2yr,843,F
5031,F,A,2yr,842,L1
5031,F,A,2yr,843,L2
5031,F,A,2yr,844,L3
5031,F,A,2yr,842,S1
5031,F,A,2yr,843,S2
5031,F,A,2yr,844,S3
5032,F,B,2yr,836,F
5034,F,B,2yr,850,F
5034,F,B,2yr,849,L1
5034,F,B,2yr,850,L2
5034,F,B,2yr,851,L3
5034,F,B,2yr,849,S1
5034,F,B,2yr,850,S2
5034,F,B,2yr,851,S3
5035,F,C,2yr,841,F
5035,F,C,2yr,840,L1
5035,F,C,2yr,841,L2
5035,F,C,2yr,842,L3
5035,F,C,2yr,840,S1
5035,F,C,2yr,841,S2
5035,F,C,2yr,842,S3
5037,F,A,2yr,841,F
5038,F,C,2yr,839,F
5039,F,B,2yr,941,F
5041,F,A,2yr,843,F
5042,F,C,2yr,838,F
5044,F,B,2yr,948,F
5045,F,A,2yr,868,F
5045,F,A,2yr,867,L1
5045,F,A,2yr,868,L2
5045,F,A,2yr,869,L3
5045,F,A,2yr,867,S1
5045,F,A,2yr,868,S2
5045,F,A,2yr,869,S3
5046,F,A,2yr,867,F
5047,F,C,2yr,882,F
5047,F,C,2yr,881,L1
5047,F,C,2yr,882,L2
5047,F,C,2yr,883,L3
5047,F,C,2yr,881,S1
5047,F,C,2yr,882,S2
5047,F,C,2yr,883,S3
5048,F,B,2yr,857,F
5048,F,B,2yr,856,L1
5048,F,B,2yr,857,L2
5048,F,B,2yr,858,L3
5048,F,B,2yr,856,S1
5048,F,B,2yr,857,S2
5048,F,B,2yr,858,S3
5049,F,A,2yr,867,F
5050,F,B,2yr,842,F
5051,F,C,2yr,840,F
5052,F,B,2yr,1033,F
5052,F,B,2yr,1032,L1
5052,F,B,2yr,1033,L2
5052,F,B,2yr,1034,L3
5052,F,B,2yr,1032,S1
5052,F,B,2yr,1033,S2
5052,F,B,2yr,1034,S3
5053,F,A,2yr,827,F
5053,F,A,2yr,826,L1
5053,F,A,2yr,827,L2
5053,F,A,2yr,828,L3
5053,F,A,2yr,826,S1
5053,F,A,2yr,827,S2
5053,F,A,2yr,828,S3
5054,F,C,2yr,843,F
5054,F,C,2yr,841,L1
5054,F,C,2yr,842,L2
5054,F,C,2yr,843,L3
5054,F,C,2yr,841,S1
5054,F,C,2yr,842,S2
5054,F,C,2yr,843,S3
5057,F,B,2yr,809,F
5058,F,A,2yr,752,F
5059,F,C,2yr,814,F
5062,F,B,2yr,833,F
5063,F,A,2yr,862,F
4924,M,A,2w,22,F
4925,M,B,2w,23,F
4926,M,C,2w,22,F
4954,M,B,2w,12,F
4955,M,C,2w,12,F
4956,M,A,2w,12,F
4970,M,C,2w,11,F
4973,M,B,2w,11,F
5013,F,C,2w,23,F
5015,F,B,2w,19,F
5017,F,A,2w,13,F
5020,F,A,2w,15,F
5022,F,B,2w,15,F
5025,F,C,2w,11,F
5026,F,A,2w,11,F
5032,F,B,2w,13,F
5035,F,C,2w,12,F
5037,F,A,2w,11,F
5038,F,C,2w,11,F
5042,F,C,2w,12,F
5045,F,A,2w,14,F
5046,F,A,2w,14,F
5047,F,C,2w,11,F
5048,F,B,2w,14,F
5049,F,A,2w,11,F
5050,F,B,2w,11,F
5051,F,C,2w,11,F
5052,F,B,2w,13,F
5059,F,C,2w,11,F
5062,F,B,2w,15,F
5063,F,A,2w,14,F
5013,F,C,1yr,364,F
5015,F,B,1yr,360,F
5017,F,A,1yr,369,F
5017,F,A,1yr,369,L1
5017,F,A,1yr,370,L2
5017,F,A,1yr,371,L3
5017,F,A,1yr,369,S1
5017,F,A,1yr,370,S2
5017,F,A,1yr,371,S3
5019,F,C,1yr,366,F
5019,F,C,1yr,366,L1
5019,F,C,1yr,367,L2
5019,F,C,1yr,368,L3
5019,F,C,1yr,366,S1
5019,F,C,1yr,367,S2
5019,F,C,1yr,368,S3
5020,F,A,1yr,365,F
5022,F,B,1yr,358,F
5022,F,B,1yr,358,L1
5022,F,B,1yr,359,L2
5022,F,B,1yr,360,L3
