accession,day,animal,study
SRR8870823,130,pig,wang2019
SRR8871205,130,pig,wang2019
SRR8871206,159,pig,wang2019
SRR8871207,174,pig,wang2019
SRR8871208,174,pig,wang2019
SRR8871210,159,pig,wang2019
SRR8871212,174,pig,wang2019
SRR8871214,174,pig,wang2019
SRR8871215,174,pig,wang2019
SRR8871217,90,pig,wang2019
SRR8871220,130,pig,wang2019
SRR8871224,146,pig,wang2019
SRR8871227,130,pig,wang2019
SRR8871231,146,pig,wang2019
SRR8871233,41,pig,wang2019
SRR8871234,33,pig,wang2019
SRR8871235,41,pig,wang2019
SRR8871237,33,pig,wang2019
SRR8871238,33,pig,wang2019
SRR8871240,33,pig,wang2019
SRR8871241,33,pig,wang2019
SRR8871242,11,pig,wang2019
SRR8871243,27,pig,wang2019
SRR8871244,27,pig,wang2019
SRR8871245,27,pig,wang2019
SRR8871246,27,pig,wang2019
SRR8871247,27,pig,wang2019
SRR8871248,27,pig,wang2019
SRR8871249,27,pig,wang2019
SRR8871250,27,pig,wang2019
SRR8871252,61,pig,wang2019
SRR8871253,61,pig,wang2019
SRR8871255,61,pig,wang2019
SRR8871260,61,pig,wang2019
SRR8871263,20,pig,wang2019
SRR8871265,33,pig,wang2019
SRR8871266,20,pig,wang2019
SRR8871271,20,pig,wang2019
SRR8871272,159,pig,wang2019
SRR8871277,159,pig,wang2019
SRR8871278,159,pig,wang2019
SRR8871281,146,pig,wang2019
SRR8871282,116,pig,wang2019
SRR8871283,104,pig,wang2019
SRR8871284,90,pig,wang2019
SRR8871285,104,pig,wang2019
SRR8871286,90,pig,wang2019
SRR8871287,90,pig,wang2019
SRR8871291,104,pig,wang2019
SRR8871292,159,pig,wang2019
SRR8871297,146,pig,wang2019
SRR8871298,146,pig,wang2019
SRR8871299,146,pig,wang2019
SRR8871300,146,pig,wang2019
SRR8871301,159,pig,wang2019
SRR8871313,76,pig,wang2019
SRR8871315,76,pig,wang2019
SRR8871318,76,pig,wang2019
SRR8871319,76,pig,wang2019
SRR8871320,76,pig,wang2019
SRR8871321,11,pig,wang2019
SRR8871201,20,pig,wang2019
SRR8870824,11,pig,wang2019
SRR8870825,11,pig,wang2019
SRR8870827,11,pig,wang2019
SRR8870828,20,pig,wang2019
SRR8870829,11,pig,wang2019
SRR8870832,11,pig,wang2019
SRR8870833,11,pig,wang2019
SRR8870834,11,pig,wang2019
SRR8870835,11,pig,wang2019
SRR8870836,50,pig,wang2019
SRR8870837,50,pig,wang2019
SRR8870838,41,pig,wang2019
SRR8870839,41,pig,wang2019
SRR8870840,50,pig,wang2019
SRR8870841,50,pig,wang2019
SRR8870842,41,pig,wang2019
SRR8870843,41,pig,wang2019
SRR8870844,116,pig,wang2019
SRR8870845,50,pig,wang2019
SRR8870847,11,pig,wang2019
SRR8870848,104,pig,wang2019
SRR8870849,104,pig,wang2019
SRR8870850,116,pig,wang2019
SRR8870852,104,pig,wang2019
SRR8870859,174,pig,wang2019
SRR8870861,174,pig,wang2019
SRR8870862,174,pig,wang2019
SRR8870863,174,pig,wang2019
SRR8870865,90,pig,wang2019
SRR8870866,90,pig,wang2019
SRR8870874,130,pig,wang2019
SRR8870875,116,pig,wang2019
SRR8870877,130,pig,wang2019
SRR8870878,130,pig,wang2019
SRR8870879,130,pig,wang2019
SRR8870880,116,pig,wang2019
