reactor,Acetic,Propionic,Isobutyric,Butyric,2-Methylbutyric,Isovaleric,Valeric,Hexanoic,Heptanoic
1,2126.214821,1364.997583,72.05633043,1179.198553,68.29687049,70.24516955,377.7302053,281.4138432,41.38872886
2,1984.002183,1479.489449,50.6555605,1548.455063,44.62760757,44.33724113,547.7881378,422.156509,52.91543914
3,2105.171957,1361.337297,80.55479905,1222.462149,82.4830276,79.08623288,343.6271903,219.4610638,27.64784256
4,1927.399294,1244.848842,57.74999115,1290.014779,57.22363385,54.24083525,407.6830086,303.0571539,39.07070599
5,1818.40587,1518.870967,48.58938907,1695.371903,43.0095155,40.89467552,545.6896572,461.8001358,55.70313133
6,1926.690045,1871.823331,66.56519787,1317.205032,63.4295652,63.82038306,480.6135641,297.8790399,47.60210278
7,1967.720636,1280.928046,54.94158001,930.5360407,51.83897242,49.4219256,723.4703692,397.2106057,67.09622239
8,2167.301575,1611.754528,77.84543141,1407.071949,69.51574633,73.02599849,360.9806644,236.0373301,32.27786256
9,2571.563527,1771.745362,68.31999397,1604.870852,61.24419666,54.54484185,491.5192156,343.6231471,42.93869608
10,2188.717072,1332.531544,52.94043205,1062.878869,49.55932619,50.6140749,549.196205,346.0544479,50.10430664
11,2282.544886,1244.766,63.72377223,1001.62993,62.18243534,58.94732357,781.5270621,446.3857835,74.13268015
12,2234.324091,1847.649938,71.60066329,1284.038121,70.39996565,66.95737869,541.2871423,303.1387296,56.43413582
