time,reactor,DON,DOM,ZEN ,aZEL ,bZEL 
144,6,1.25,1.25,0.25,0.5,0.5
144,9,1.25,1.25,0.25,0.5,0.5
144,12,1.25,1.25,0.25,0.5,0.5
168,6,233.4465,20.1815,25.138,11.881,9.8745
168,9,314.5255,16.1985,23.2905,6.3725,5.957
168,12,263.3065,23.192,19.939,11.775,9.243
192,6,283.336,97.8895,39.275,13.4795,10.3095
192,9,471.833,56.8305,36.5565,9.026,7.8135
192,12,342.686,84.585,36.9215,14.4245,10.7005
216,6,132.5545,304.3105,58.2245,17.706,11.814
216,9,372.309,161.389,69.509,13.3055,9.634
216,12,293.476,204.934,68.788,21.2575,13.5795
240,6,7.562,471.1785,61.933,16.9105,10.858
240,9,115.512,445.3745,64.6745,12.5735,7.88
240,12,171.2915,361.209,68.7785,18.509,10.611
264,6,1.25,537.462,57.168,15.3955,9.35
264,9,1.25,545.272,54.298,10.782,6.9585
264,12,5.784,474.1775,69.4855,16.4205,11.1825
288,6,1.25,479.1305,34.97,9.571,6.5215
288,9,1.25,541.485,52.1535,8.9685,5.375
288,12,1.25,528.4395,55.6505,13.4675,9.1985
312,6,3.6455,503.551,51.3615,11.77,7.075
312,9,1.25,555.885,62.5755,10.5135,5.6945
312,12,1.25,507.6215,56.5655,13.713,8.301
144,4,1.25,1.25,0.25,0.5,0.5
144,5,1.25,1.25,0.25,0.5,0.5
144,10,1.25,1.25,0.25,0.5,0.5
168,4,263.0835,22.491,42.417,9.339,4.6175
168,5,212.12,18.7675,28.031,6.708,5.8805
168,10,246.091,21.3935,39.6045,10.2775,8.436
192,4,319.304,98.151,53.587,12.0875,6.1225
192,5,347.0105,60.203,38.816,7.053,6.357
192,10,332.202,49.3375,38.276,8.553,7.0665
216,4,270.3135,160.4565,43.544,8.634,5.6375
216,5,355.3205,120.9225,54.607,8.0625,6.6995
216,10,319.894,108.582,50.9815,7.866,7.544
240,4,195.051,311.356,63.1145,9.0475,6.2665
240,5,288.1285,242.928,57.971,7.9515,5.8805
240,10,197.7705,246.674,61.46,8.6305,7.2845
264,4,113.4235,331.645,40.717,5.0745,3.853
264,5,17.269,460.204,58.905,8.2625,6.128
264,10,32.697,358.7885,60.976,6.824,5.401
288,4,5.4645,431.491,73.383,7.4865,4.9475
288,5,1.25,486.9855,45.437,4.8495,3.63
288,10,1.25,455.833,47.776,4.7255,4.247
312,4,1.25,493.7905,57.4975,6.3905,3.3335
312,5,5.7255,592.6415,51.871,6.313,3.5895
312,10,1.25,436.0665,65.759,7.889,4.49
