time,treatment,od,blank
0,EtOH,0.0837,0.0823
1800.19,EtOH,0.083,0.0817
3600.19,EtOH,0.0839,0.082
5400.19,EtOH,0.0835,0.0817
7200.19,EtOH,0.0834,0.0819
9000.19,EtOH,0.0838,0.0817
10800.19,EtOH,0.0838,0.082
12600.19,EtOH,0.0841,0.0818
14400.19,EtOH,0.0842,0.0816
16200.19,EtOH,0.0845,0.082
18000.19,EtOH,0.0851,0.082
19800.19,EtOH,0.0854,0.082
21600.19,EtOH,0.0864,0.0821
23400.19,EtOH,0.0872,0.082
25200.19,EtOH,0.0883,0.0821
27000.19,EtOH,0.0902,0.0823
28800.19,EtOH,0.0923,0.082
30600.19,EtOH,0.0948,0.0815
32400.19,EtOH,0.0986,0.082
34200.19,EtOH,0.1032,0.0823
36000.19,EtOH,0.1085,0.082
37800.19,EtOH,0.1154,0.082
39600.19,EtOH,0.1224,0.0818
41400.19,EtOH,0.1291,0.0819
43200.19,EtOH,0.1372,0.082
45000.19,EtOH,0.1471,0.082
46800.19,EtOH,0.1566,0.0818
48600.19,EtOH,0.1684,0.0817
50400.19,EtOH,0.1818,0.0819
52200.19,EtOH,0.197,0.0817
54000.19,EtOH,0.2163,0.0821
55800.19,EtOH,0.2377,0.0822
57600.19,EtOH,0.2613,0.082
59400.19,EtOH,0.2887,0.0822
61200.19,EtOH,0.3179,0.0822
63000.19,EtOH,0.3471,0.082
64800.19,EtOH,0.3757,0.0822
66600.19,EtOH,0.4048,0.0819
68400.19,EtOH,0.4316,0.0822
70200.19,EtOH,0.4574,0.0821
72000.19,EtOH,0.4822,0.0817
73800.19,EtOH,0.5056,0.0821
75600.19,EtOH,0.5267,0.0821
77400.19,EtOH,0.5451,0.0819
79200.19,EtOH,0.5623,0.082
81000.19,EtOH,0.5785,0.0818
82800.19,EtOH,0.5928,0.0813
84600.19,EtOH,0.6064,0.0823
86400.19,EtOH,0.6182,0.0822
88200.19,EtOH,0.6291,0.0821
90000.19,EtOH,0.6389,0.0822
91800.19,EtOH,0.6476,0.0825
93600.19,EtOH,0.6554,0.082
95400.19,EtOH,0.6632,0.0819
97200.19,EtOH,0.67,0.0822
99000.19,EtOH,0.6763,0.0819
100800.19,EtOH,0.6815,0.0819
102600.19,EtOH,0.6866,0.082
104400.19,EtOH,0.6901,0.0816
106200.19,EtOH,0.6948,0.0822
108000.19,EtOH,0.6983,0.0823
109800.19,EtOH,0.7015,0.0822
111600.19,EtOH,0.705,0.0819
113400.19,EtOH,0.7086,0.0821
115200.19,EtOH,0.7121,0.0821
117000.19,EtOH,0.7155,0.0818
118800.19,EtOH,0.7191,0.0822
120600.19,EtOH,0.7222,0.0817
122400.19,EtOH,0.7247,0.0821
124200.19,EtOH,0.727,0.0822
126000.19,EtOH,0.7287,0.0821
127800.19,EtOH,0.73,0.0821
129600.19,EtOH,0.7314,0.0824
131400.19,EtOH,0.7314,0.0817
133200.19,EtOH,0.7322,0.0821
135000.19,EtOH,0.7322,0.0818
136800.19,EtOH,0.7313,0.0826
138600.19,EtOH,0.7306,0.0819
140400.19,EtOH,0.7292,0.0819
142200.19,EtOH,0.7282,0.0817
144000.19,EtOH,0.727,0.082
145800.19,EtOH,0.7247,0.0821
147600.19,EtOH,0.723,0.0821
149400.19,EtOH,0.7217,0.082
151200.19,EtOH,0.7185,0.0821
153000.19,EtOH,0.7157,0.0818
154800.19,EtOH,0.7137,0.0825
156600.19,EtOH,0.7103,0.0821
158400.19,EtOH,0.706,0.0819
160200.19,EtOH,0.7034,0.0821
162000.19,EtOH,0.6992,0.0822
163800.19,EtOH,0.6952,0.0825
165600.19,EtOH,0.6919,0.0821
167400.19,EtOH,0.6869,0.082
169200.19,EtOH,0.6821,0.082
171000.19,EtOH,0.6773,0.0821
172800.19,EtOH,0.673,0.0818
174600.19,EtOH,0.6678,0.0819
176400.19,EtOH,0.6628,0.082
178200.19,EtOH,0.6578,0.0821
180000.19,EtOH,0.6524,0.0816
181800.19,EtOH,0.6475,0.0818
183600.19,EtOH,0.6424,0.0819
185400.19,EtOH,0.638,0.082
187200.19,EtOH,0.633,0.0821
189000.19,EtOH,0.6272,0.082
190800.19,EtOH,0.6219,0.0817
192600.19,EtOH,0.6167,0.0822
194400.19,EtOH,0.6117,0.0818
196200.19,EtOH,0.6071,0.0822
198000.19,EtOH,0.6018,0.0818
199800.19,EtOH,0.5975,0.0821
201600.19,EtOH,0.5928,0.0816
203400.19,EtOH,0.5886,0.0819
205200.19,EtOH,0.5847,0.0824
207000.19,EtOH,0.5805,0.0821
208800.19,EtOH,0.5764,0.0821
210600.19,EtOH,0.5728,0.0819
212400.19,EtOH,0.5691,0.0818
214200.19,EtOH,0.5659,0.0818
216000.19,EtOH,0.5627,0.0821
217800.19,EtOH,0.5592,0.0815
219600.19,EtOH,0.5567,0.0814
221400.19,EtOH,0.5538,0.0822
223200.19,EtOH,0.5514,0.0818
225000.19,EtOH,0.5484,0.082
226800.19,EtOH,0.5463,0.0817
228600.19,EtOH,0.5436,0.082
230400.19,EtOH,0.5412,0.0819
232200.19,EtOH,0.5387,0.0817
234000.19,EtOH,0.5372,0.082
235800.19,EtOH,0.5353,0.0822
237600.19,EtOH,0.5337,0.0817
239400.19,EtOH,0.5316,0.0821
241200.19,EtOH,0.5303,0.082
243000.19,EtOH,0.528,0.0816
244800.19,EtOH,0.5266,0.0814
246600.19,EtOH,0.5256,0.0823
0,EtOH,0.0831,0.0838
1800.19,EtOH,0.0827,0.0832
3600.19,EtOH,0.0829,0.0834
5400.19,EtOH,0.0827,0.0832
7200.19,EtOH,0.0829,0.0832
9000.19,EtOH,0.0827,0.0832
10800.19,EtOH,0.0831,0.0831
12600.19,EtOH,0.0833,0.0834
14400.19,EtOH,0.0838,0.0836
16200.19,EtOH,0.0841,0.0834
18000.19,EtOH,0.0845,0.0837
19800.19,EtOH,0.085,0.0832
21600.19,EtOH,0.0857,0.0834
23400.19,EtOH,0.0867,0.0833
25200.19,EtOH,0.0879,0.0833
27000.19,EtOH,0.0891,0.0833
28800.19,EtOH,0.0919,0.0835
30600.19,EtOH,0.0946,0.0831
32400.19,EtOH,0.0985,0.0835
34200.19,EtOH,0.1029,0.0834
36000.19,EtOH,0.1083,0.0836
37800.19,EtOH,0.1141,0.0835
39600.19,EtOH,0.12,0.0835
41400.19,EtOH,0.127,0.0837
43200.19,EtOH,0.134,0.0833
45000.19,EtOH,0.1418,0.0836
46800.19,EtOH,0.15,0.0835
48600.19,EtOH,0.1606,0.0836
50400.19,EtOH,0.1732,0.0837
52200.19,EtOH,0.1885,0.0833
54000.19,EtOH,0.2065,0.0836
55800.19,EtOH,0.2256,0.0836
57600.19,EtOH,0.2479,0.0836
59400.19,EtOH,0.2717,0.0839
61200.19,EtOH,0.298,0.084
63000.19,EtOH,0.3233,0.0835
64800.19,EtOH,0.3495,0.0839
66600.19,EtOH,0.3751,0.0834
68400.19,EtOH,0.3997,0.0838
70200.19,EtOH,0.4235,0.0836
72000.19,EtOH,0.4456,0.0838
73800.19,EtOH,0.4674,0.0835
75600.19,EtOH,0.4871,0.0836
77400.19,EtOH,0.5051,0.0835
79200.19,EtOH,0.5214,0.0835
81000.19,EtOH,0.5369,0.0838
82800.19,EtOH,0.5507,0.0834
84600.19,EtOH,0.5632,0.084
86400.19,EtOH,0.5745,0.0835
88200.19,EtOH,0.5847,0.0837
90000.19,EtOH,0.5936,0.084
91800.19,EtOH,0.6012,0.0842
93600.19,EtOH,0.6087,0.0835
95400.19,EtOH,0.6158,0.0833
97200.19,EtOH,0.6223,0.0837
99000.19,EtOH,0.6275,0.0837
100800.19,EtOH,0.6324,0.0835
102600.19,EtOH,0.637,0.0834
104400.19,EtOH,0.6411,0.0835
106200.19,EtOH,0.6441,0.0836
108000.19,EtOH,0.6479,0.0837
109800.19,EtOH,0.6512,0.0837
111600.19,EtOH,0.6543,0.0835
113400.19,EtOH,0.6587,0.0839
115200.19,EtOH,0.6616,0.0836
117000.19,EtOH,0.665,0.0836
118800.19,EtOH,0.669,0.0839
120600.19,EtOH,0.6714,0.0833
122400.19,EtOH,0.6737,0.0837
124200.19,EtOH,0.6756,0.0836
126000.19,EtOH,0.6767,0.0839
127800.19,EtOH,0.678,0.0839
129600.19,EtOH,0.6789,0.0839
131400.19,EtOH,0.679,0.0835
133200.19,EtOH,0.679,0.0839
135000.19,EtOH,0.6792,0.0837
136800.19,EtOH,0.6783,0.0837
138600.19,EtOH,0.6776,0.0835
140400.19,EtOH,0.6766,0.0835
142200.19,EtOH,0.6758,0.0833
144000.19,EtOH,0.6741,0.084
145800.19,EtOH,0.6719,0.0837
147600.19,EtOH,0.6702,0.0835
