"file","genome","n_ribosomal_proteins","total_ribosomal_gene_len","n_reads_mapped","Filename","ReadCount","dataset","normalized_reads_per_kB_per_M"
"ERR3275122_1","10677_0019_idba_bin.218",40,17688,1059,"ERR3275122_1.fastq",132483373,"Adult",0.451914060568216
"ERR3275122_1","10677_0034_idba_bin.198",42,18354,428,"ERR3275122_1.fastq",132483373,"Adult",0.176015804518558
"ERR3275122_1","10676_0049_idba_bin.70",39,19470,2183,"ERR3275122_1.fastq",132483373,"Adult",0.84630402730773
"ERR3275122_1","10674_0009_idba_bin.117",37,20709,1078,"ERR3275122_1.fastq",132483373,"Adult",0.392914680879643
"ERR3275122_1","10678_0051_idba_bin.51",43,20247,1759,"ERR3275122_1.fastq",132483373,"Adult",0.655758275475336
"ERR3275122_1","10675_0017_idba_bin.63",18,10164,64,"ERR3275122_1.fastq",132483373,"Adult",0.0475284817020838
"ERR3275122_1","10674_0003_idba_bin.96",41,18645,77,"ERR3275122_1.fastq",132483373,"Adult",0.0311721646030592
"ERR3275122_1","10678_0024_idba_bin.135",41,17709,150,"ERR3275122_1.fastq",132483373,"Adult",0.063934584112419
"ERR3275122_1","10677_0023_idba_bin.239",41,18483,11,"ERR3275122_1.fastq",132483373,"Adult",0.00449219753305383
"ERR3275122_1","10677_0023_idba_bin.13",41,18111,68,"ERR3275122_1.fastq",132483373,"Adult",0.0283403432180017
"ERR3275122_1","10677_0019_idba_bin.37",23,9222,6,"ERR3275122_1.fastq",132483373,"Adult",0.00491094144457526
"ERR3275122_1","Megasphaera_elsdenii_2410",31,13602,13,"ERR3275122_1.fastq",132483373,"Adult",0.00721405094868831
"ERR3275122_1","10678_min2k_bin.2957",37,16101,53,"ERR3275122_1.fastq",132483373,"Adult",0.0248462953242995
"ERR3275122_1","10674_min2k_bin.1792",42,18066,30,"ERR3275122_1.fastq",132483373,"Adult",0.0125342361346931
"ERR3275122_1","10676_min2k_bin.2753",42,18609,61,"ERR3275122_1.fastq",132483373,"Adult",0.0247426050308476
"ERR3275122_1","Megasphaera_hexanoica_MH",42,17547,15,"ERR3275122_1.fastq",132483373,"Adult",0.00645248504044468
"ERR3275122_1","malmuthuge.34",41,17973,25,"ERR3275122_1.fastq",132483373,"Adult",0.0104992447008181
"ERR3275122_1","Pseudoramibacter_alactolyticus_ATCC23263",44,18396,12,"ERR3275122_1.fastq",132483373,"Adult",0.00492375538180834
"ERR3275122_1","Ruminococcaceae_CPB6",41,18129,16,"ERR3275122_1.fastq",132483373,"Adult",0.00666169518478653
"ERR3275122_1","malmuthuge.128",41,18225,13,"ERR3275122_1.fastq",132483373,"Adult",0.0053841163788235
"ERR3275122_1","10676_min2k_bin.3406",41,18084,25,"ERR3275122_1.fastq",132483373,"Adult",0.0104348000999671
"ERR3275122_1","malmuthuge.79",28,12450,27,"ERR3275122_1.fastq",132483373,"Adult",0.0163694103621228
