asv	SRR2085804	SRR2085805	SRR2085806	SRR2085807	SRR2085813	SRR2085814	SRR2085819	SRR2085820	SRR2085821	SRR2085822	SRR2085827	SRR2085828	SRR2085831	SRR2085832	SRR2085833	SRR2085834
ba76883dfaeaa3c93d0196d074cbc597	6	6	0	0	315	148	683	145	64	247	1138	841	832	409	0	0
7e74a7af2bee8d3eab7b7a0c299dbb2b	0	0	0	0	4088	319	0	0	0	0	0	0	0	0	0	0
a35f2dd18a144653ce2700de2afaa9f6	48	19	53	0	538	88	831	275	30	47	438	245	983	273	91	39
3032d2d28f782b46e7751812a4bc2885	69	62	245	20	271	244	27	233	70	57	129	1736	0	89	41	0
4771d0e35ab03ac58215be17d2afb1de	0	0	0	0	0	0	757	0	0	0	1457	67	0	18	0	0
f2df8a46534b004aa077321977626ac6	495	11	13	127	860	66	213	119	15	48	0	0	76	0	0	28
d3182e116d211a04594ec798e1a90f2e	0	28	427	398	0	0	0	23	0	29	10	22	15	779	0	0
0480bd81f8e6c51422ce8ce8c5281ad3	188	71	504	19	273	222	17	83	71	39	57	0	0	113	38	0
73bec06888a571191ca74f373ff5f6ea	49	315	103	25	9	79	0	0	201	0	0	33	0	8	546	228
e9d66bc9148437f4b35a54e5f8f04798	388	239	201	57	0	0	0	87	96	0	0	62	0	60	0	124
05b4f625e60f060130d392b9278adee0	143	102	69	89	268	0	0	0	47	108	23	0	50	0	175	87
76ebd43a80904abddcfb4d5f41a8a2f2	111	45	0	0	0	440	0	53	414	0	0	0	55	0	0	0
6c5cfd60840eb53031598bd76b91ab96	46	48	0	90	173	62	362	43	0	48	33	0	78	0	43	68
e9e4c5dc3ff1f26cbee60d2f5f8b576b	0	414	88	0	0	0	0	0	484	0	0	15	19	0	0	0
f3a2a5a4ef2b8dfa0f087b09e0e83ed7	0	0	0	0	506	456	0	0	0	0	0	14	0	33	0	0
48e0d8303a514dfdd0b6b5ecbae15c2b	56	122	0	0	0	0	0	0	583	78	0	11	0	0	102	34
