ASV	SRR20752627	SRR20752628	SRR20752629	SRR20752630	SRR20752631	SRR20752632	SRR20752633	SRR20752634	SRR20752635	SRR20752636	SRR20752637	SRR20752638	SRR20752639	SRR20752640	SRR20752641	SRR20752642	SRR20752643	SRR20752644	SRR20752645	SRR20752646	SRR20752647	SRR20752648	SRR20752649	SRR20752650	SRR20752651	SRR20752652	SRR20752653	SRR20752654	SRR20752655	SRR20752657	SRR20752658	SRR20752659	SRR20752660	SRR20752661	SRR20752662	SRR20752663	SRR20752664	SRR20752665	SRR20752667	SRR20752668	SRR20752669	SRR20752670	SRR20752671	SRR20752672	SRR20752673	SRR20752674	SRR20752675	SRR20752677	SRR20752678	SRR20752679	SRR20752680	SRR20752681	SRR20752682	SRR20752683	SRR20752685	SRR20752686	SRR20752687	SRR20752688	SRR20752689	SRR20752690	SRR20752691	SRR20752692	SRR20752694	SRR20752695	SRR20752697	SRR20752698
4bd414343c2a5691a77af8d96c5e6ab7	938	518	129	1762	5105	5385	6351	29	2973	18439	10389	8438	9317	19002	11462	1365	14178	15235	15	6760	4704	11673	19462	17868	15442	20960	14628	18270	9272	8717	15088	69	39	452	1853	24	146	4877	7814	12986	14597	14122	20102	22394	8588	9747	19	7841	10506	6573	2217	3450	305	30	13226	27	6531	50	173	12965	39	23	149	232	22	16
25a51de7e6e9b289a6d541868daa69a6	7721	10922	11156	8924	11311	3093	13459	0	15978	4532	8107	9844	5900	5034	18093	1922	10043	10050	64	16318	19007	8100	7842	9056	10608	10881	9062	10426	12420	8918	4128	33	25	11322	6321	0	4332	18787	9136	3405	7462	9578	4997	7999	15461	12851	49	8802	4449	7144	20253	16938	1985	2809	2583	245	409	2138	518	2187	19	21	21	17	0	0
9c9e7db56602f6cf68c6abb672bdd5ff	12687	2801	2780	4955	7024	4160	3832	12	3422	3037	9273	10706	1463	1149	2721	2444	904	4054	10	1657	3933	1055	436	2150	2928	595	3411	554	421	1745	344	258	226	4986	6832	16	3700	3818	9935	457	401	1528	1710	355	1529	2551	11487	2323	16217	5171	5251	9420	4336	4746	3095	16	3029	1369	1059	3196	6411	4750	148	175	12	5
a63b7314102510e5887adfa61d9401ec	20	0	74	9	15	144	56	6857	15	11	15	18	1314	28	53	30	10	41	30355	14583	8240	21	0	21	49	215	24	174	11	0	16	221	315	11	8	11345	9	21	12	14	0	10	6	145	21	51	15611	10	0	17	17	23	36	19	27	36976	33	11	45	20	3469	3687	4572	3287	12204	2738
e49a7616622f092055c6f3a5610c6c80	240	328	246	1716	897	2483	3776	13	964	3477	821	756	3792	4611	1060	574	1179	3406	0	3627	724	7659	5151	3939	3843	3995	4123	3590	3025	7955	4736	21	13	1470	1051	0	377	1118	19	5124	281	584	7005	5296	1881	2977	0	507	1442	405	2145	588	875	16056	1481	0	22	0	958	1017	23	0	37	27	19	0
b2af27f15fee414b7e31b93f033469c4	17	0	11	14	10	13	19	32353	16	24	0	0	17	33	12	19	18	0	143	20	21	0	15	12	0	15	15	19	0	25	0	163	36	0	9	5271	12	0	12	0	0	12	19	24	25	0	5655	25	14	16	12	17	27	36	28	41155	9	16	69	22	1843	871	6932	315	17	20768
dd34f46f9b8c0aa987abcb7b04f46d0a	84	0	0	2020	861	780	2932	15	532	3454	691	496	5401	6777	2265	455	2560	4125	0	2878	1537	3699	3227	1793	2191	4263	1914	3584	2967	14283	5820	7	10	0	17	11	0	236	82	5212	3582	2742	4590	8040	19	0	6	0	0	0	0	0	7	6	0	0	0	0	0	0	0	13	0	0	7	0
b9bfb1d512791014be8fd24d4c20ec51	928	492	388	873	1001	1596	4241	20	1345	2176	749	731	3975	4993	4094	1298	4344	2478	30	2598	1045	2101	4047	1561	1663	2018	1576	2073	990	1602	3567	0	19	556	490	35	308	1298	569	3055	2922	1973	4920	1631	7807	611	28	9292	1316	592	646	305	271	533	86	0	68	281	443	91	0	24	0	20	14	18
97596b9c1bf10169823be8d6308d5805	4285	3631	4170	5104	2828	3078	1517	0	3606	1176	6119	7179	1449	652	1767	871	669	1014	0	3272	1430	763	48	45	56	828	62	842	1026	35	91	0	0	5552	4340	16	4836	5001	186	64	42	82	282	92	402	182	0	0	521	58	1165	25	335	200	853	0	24	18	71	781	0	0	0	0	0	0
36eaa37dd7ad0963f66d7475381562b9	148	0	111	660	455	630	1351	0	687	1051	229	174	1880	3337	490	144	332	987	0	318	264	1425	1361	699	835	533	759	480	1927	1237	6582	0	0	228	87	0	0	191	322	7611	327	1868	2314	2266	4028	5458	0	751	457	12828	2468	1625	1978	1197	565	0	111	73	363	629	0	0	0	0	0	0
