ASV	SRR13983674	SRR13983675	SRR13983676	SRR13983677	SRR13983678	SRR13983679	SRR13983680	SRR13983681	SRR13983682	SRR13983683	SRR13983684	SRR13983685	SRR13983686	SRR13983687	SRR13983688	SRR13983689	SRR13983690	SRR13983691	SRR13983692	SRR13983693	SRR13983694	SRR13983695	SRR13983696	SRR13983697	SRR13983698	SRR13983699	SRR13983700	SRR13983701	SRR13983702	SRR13983703	SRR13983704	SRR13983705	SRR13983706	SRR13983707	SRR13983708	SRR13983709	SRR13983710	SRR13983711	SRR13983712	SRR13983713	SRR13983714	SRR13983715	SRR13983716	SRR13983717	SRR13983718	SRR13983719	SRR13983720	SRR13983721	SRR13983722	SRR13983723	SRR13983724	SRR13983725	SRR13983726	SRR13983727	SRR13983728	SRR13983729	SRR13983730	SRR13983731	SRR13983732	SRR13983733	SRR13983734	SRR13983735	SRR13983736	SRR13983737	SRR13983738	SRR13983739	SRR13983740	SRR13983741	SRR13983742	SRR13983743	SRR13983744	SRR13983745	SRR13983746	SRR13983747	SRR13983748	SRR13983749	SRR13983750	SRR13983751	SRR13983752	SRR13983753	SRR13983754	SRR13983755	SRR13983756	SRR13983757	SRR13983758	SRR13983759	SRR13983760	SRR13983761	SRR13983762	SRR13983763	SRR13983764	SRR13983765	SRR13983766	SRR13983767	SRR13983768	SRR13983769	SRR13983770	SRR13983771	SRR13983772	SRR13983773	SRR13983774	SRR13983775	SRR13983776	SRR13983777	SRR13983778	SRR13983779	SRR13983780	SRR13983781	SRR13983782	SRR13983783	SRR13983784	SRR13983785	SRR13983786	SRR13983787	SRR13983788	SRR13983789	SRR13983790	SRR13983791	SRR13983792	SRR13983793	SRR13983794	SRR13983795	SRR13983796	SRR13983797	SRR13983798	SRR13983799	SRR13983800	SRR13983801	SRR13983802	SRR13983803	SRR13983804	SRR13983805	SRR13983806	SRR13983807	SRR13983808	SRR13983809	SRR13983810	SRR13983811	SRR13983812	SRR13983813	SRR13983814	SRR13983815	SRR13983816	SRR13983817	SRR13983818	SRR13983819	SRR13983820	SRR13983821	SRR13983822	SRR13983823	SRR13983824	SRR13983825	SRR13983826	SRR13983827	SRR13983828	SRR13983829	SRR13983830	SRR13983831	SRR13983832	SRR13983833	SRR13983834	SRR13983835	SRR13983836	SRR13983837	SRR13983838	SRR13983839	SRR13983840	SRR13983841	SRR13983842	SRR13983843	SRR13983844	SRR13983845	SRR13983846	SRR13983847	SRR13983848	SRR13983849
a57276becaac0e10be3ac6501efdecae	207	48	110	0	0	0	727	0	3073	1245	0	0	0	0	11	5001	1677	0	360	9	5	0	30	10	285	109	653	210	2488	2085	77	15	18	132	37	550	64	12	45	451	277	59	137	216	56	8	0	6	2692	20	726	3571	47	2081	4	8	187	0	447	337	241	8	399	463	273	391	392	377	0	180	432	932	38	1011	301	281	145	179	361	18	402	271	145	299	473	502	334	480	620	720	0	0	16	430	4339	335	0	0	1319	0	4	8027	462	0	8904	0	0	5	0	146	1329	22	0	0	6429	4593	2096	0	0	0	0	473	41	499	536	586	306	65	214	432	86	35	724	0	705	320	246	627	121	1247	573	361	786	42	0	267	498	534	270	0	301	331	272	162	159	250	4026	247	191	125	283	562	279	189	822	238	61	0	419	300	590	349	380	0	428	459
4ec3c8698ccf78cc70b287273ce91809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6298	0	213	6028	1258	0	0	88	6	193	469	55	0	0	0	0	0	1196	69	6009	22	3324	4715	0	4597	1964	2454	4554	2243	2839	5825	289	7082	5769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	22	0	0	20	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0
8d3a8ccb4257e0d2d9ee2d2a41fdc403	381	90	73	29	0	0	22	55	47	101	30	46	258	16	53	21	182	0	168	0	16	70	5	492	109	0	203	0	64	27	34	11	24	20	0	193	20	41	20	96	0	72	33	34	34	8	274	64	60	26	21	38	44	85	115	20	523	0	831	522	847	0	394	1048	718	1249	707	474	0	274	223	716	289	1174	865	559	704	1059	1370	36	1354	911	1014	1896	653	402	509	1105	757	819	58	0	0	147	39	132	212	0	252	20	93	131	19	0	70	0	0	13	0	60	0	43	66	0	130	241	278	0	154	0	20	394	0	303	493	864	340	792	494	619	216	93	630	0	570	572	390	217	346	738	387	644	455	378	0	438	460	902	319	5	697	462	252	337	427	152	0	252	748	142	228	309	356	226	118	537	145	0	661	308	234	150	717	15	453	543
28649f5ab7b76db75338bca12f1d265d	0	4	3	20	7	11	7	0	0	3	17	78	0	6	7	0	0	24	9	8	8	0	0	40	6	0	3	5	0	0	3	0	24	0	9626	0	0	5	10	0	0	0	0	0	5	5201	21	22	18	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2193	0	0	0	0	0	0	0	0	0	0	1253	0	0	0	0	0	0	0	0	0	0	1729	6780	9701	8	0	9	129	6313	5	37	21	12	7	0	6	0	0	42	8	0	6	0	12	0	11	6	18	64	234	0	31	0	0	0	0	0	0	0	0	0	0	0	0	3045	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	6	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	3	0	0
2ffe04d3d7f1ac32eb8afdbc235f3b2e	0	37	276	550	229	476	149	0	45	12	1493	383	291	50	1546	602	19	60	117	264	662	135	5	58	133	31	243	236	136	585	707	634	2553	1308	3	30	501	941	1474	1616	320	1409	151	770	772	3	469	792	253	3541	76	186	81	1087	636	408	0	2145	0	0	0	741	0	0	0	0	0	0	626	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	850	0	0	19	57	6	17	2	58	354	710	132	654	1691	119	253	637	203	360	446	166	626	456	516	34	111	604	0	509	0	967	0	132	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	123	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0
8843c90703a7a35d2efc331007521d6a	0	85	75	447	80	131	146	20	63	364	4080	74	23	121	60	137	292	943	779	108	594	1499	8	0	59	861	74	1261	243	112	77	69	203	131	0	66	241	107	52	431	461	91	550	211	581	0	90	453	203	65	88	43	133	140	309	233	0	0	0	0	0	85	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	18	0	8	1286	190	275	0	0	43	2170	1787	705	276	567	221	458	1471	143	94	42	94	414	322	467	573	4215	295	0	890	0	2458	0	250	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	515	43	84	153	0	176	229	665	84	0	24	0	277	5	65	0	0	0	235	0	0	0	0	0	1136	0	0
d0fcecd507dd3cab7db4182ef08a17d3	0	189	1796	142	31	0	14	1422	662	43	0	0	0	0	0	0	106	0	1079	0	117	3365	0	0	0	1102	4203	0	0	45	383	24	0	0	0	7919	982	198	331	0	0	2971	1109	2828	0	0	0	0	0	0	849	223	395	339	64	30	48	0	166	27	0	46	26	66	36	110	125	158	0	61	59	0	0	0	22	36	63	20	49	0	66	274	45	63	93	178	64	69	42	101	0	0	0	434	0	0	0	0	0	0	0	0	0	51	22	0	0	0	0	0	0	70	0	0	9	0	0	0	0	0	0	40	12	29	0	135	0	0	62	29	62	0	225	601	93	56	90	58	99	16	0	52	42	0	0	47	65	127	30	0	256	61	447	82	260	339	0	303	221	210	300	0	188	169	67	0	0	0	52	42	0	394	0	12	234	0
5bbe3e16c6689d974c71537b50909bb3	0	22	22	79	5	18	2440	116	873	2100	0	0	0	484	1098	0	692	1488	2017	1616	1150	1604	0	0	15	1386	156	116	1279	5	182	8	7	9	32	7	43	13	116	0	1669	11	8	0	817	0	0	729	92	22	0	1367	0	190	5223	54	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	955	439	0	0	8	1279	150	0	69	10	173	139	3137	355	3	2589	0	0	0	0	0	0	5	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d27ce08c248e707937b80f2f2713a996	0	18	39	1512	169	414	1498	136	868	1008	349	5	0	1315	40	1784	119	790	1301	207	723	1135	9	0	435	356	1210	622	936	507	57	108	300	99	85	0	67	72	35	380	39	78	292	23	401	7	14	790	39	550	119	1031	27	469	138	284	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	650	259	0	0	0	1139	1406	338	450	362	751	1246	1754	1130	0	103	472	560	510	188	38	81	337	0	27	0	1193	0	51	0	0	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	399	15	0	0	0	18	191	826	9	0	0	0	24	0	8	0	0	0	333	0	0	0	0	0	24	0	0
84f6ba26112f19f33276528aea48ab19	0	23	264	1240	548	193	758	136	175	192	0	0	40	276	436	220	216	1280	260	277	232	64	0	0	47	391	220	714	453	488	88	254	1025	121	20	0	689	648	357	548	366	771	630	734	985	13	72	651	572	920	317	684	49	322	410	1630	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	207	710	102	0	0	0	872	361	705	214	1119	921	102	524	862	0	564	1837	2214	2677	43	0	30	191	0	4	0	527	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	10	34	54	0	16	0	0	0	13	0	8	0	0	0	0	0	0	0	0	0	82	0	0
