accession,day,animal,study
SRR20752698,2,pig,gaire2023
SRR20752697,2,pig,gaire2023
SRR20752686,2,pig,gaire2023
SRR20752675,2,pig,gaire2023
SRR20752656,2,pig,gaire2023
SRR20752645,2,pig,gaire2023
SRR20752634,2,pig,gaire2023
SRR20752663,2,pig,gaire2023
SRR20752660,22,pig,gaire2023
SRR20752659,22,pig,gaire2023
SRR20752696,22,pig,gaire2023
SRR20752695,22,pig,gaire2023
SRR20752694,22,pig,gaire2023
SRR20752693,22,pig,gaire2023
SRR20752692,22,pig,gaire2023
SRR20752691,22,pig,gaire2023
SRR20752690,26,pig,gaire2023
SRR20752689,26,pig,gaire2023
SRR20752688,26,pig,gaire2023
SRR20752687,26,pig,gaire2023
SRR20752685,26,pig,gaire2023
SRR20752684,26,pig,gaire2023
SRR20752683,26,pig,gaire2023
SRR20752682,26,pig,gaire2023
SRR20752681,40,pig,gaire2023
SRR20752680,40,pig,gaire2023
SRR20752679,40,pig,gaire2023
SRR20752678,40,pig,gaire2023
SRR20752677,40,pig,gaire2023
SRR20752676,40,pig,gaire2023
SRR20752674,40,pig,gaire2023
SRR20752673,40,pig,gaire2023
SRR20752672,54,pig,gaire2023
SRR20752671,54,pig,gaire2023
SRR20752670,54,pig,gaire2023
SRR20752669,54,pig,gaire2023
SRR20752668,54,pig,gaire2023
SRR20752667,54,pig,gaire2023
SRR20752658,54,pig,gaire2023
SRR20752657,54,pig,gaire2023
SRR20752655,77,pig,gaire2023
SRR20752654,77,pig,gaire2023
SRR20752653,77,pig,gaire2023
SRR20752652,77,pig,gaire2023
SRR20752651,77,pig,gaire2023
SRR20752650,77,pig,gaire2023
SRR20752649,77,pig,gaire2023
SRR20752648,77,pig,gaire2023
SRR20752647,93,pig,gaire2023
SRR20752646,93,pig,gaire2023
SRR20752644,93,pig,gaire2023
SRR20752643,93,pig,gaire2023
SRR20752642,93,pig,gaire2023
SRR20752641,93,pig,gaire2023
SRR20752640,93,pig,gaire2023
SRR20752639,93,pig,gaire2023
SRR20752638,128,pig,gaire2023
SRR20752637,128,pig,gaire2023
SRR20752636,128,pig,gaire2023
SRR20752635,128,pig,gaire2023
SRR20752633,128,pig,gaire2023
SRR20752632,128,pig,gaire2023
SRR20752631,128,pig,gaire2023
SRR20752630,128,pig,gaire2023
SRR20752629,179,pig,gaire2023
SRR20752628,179,pig,gaire2023
SRR20752627,179,pig,gaire2023
SRR20752666,179,pig,gaire2023
SRR20752665,179,pig,gaire2023
SRR20752664,179,pig,gaire2023
SRR20752662,179,pig,gaire2023
SRR20752661,179,pig,gaire2023
