accession,day,animal,study
SRR13983730,270,cattle,kodi2022
SRR13983732,270,cattle,kodi2022
SRR13983733,270,cattle,kodi2022
SRR13983734,270,cattle,kodi2022
SRR13983758,270,cattle,kodi2022
SRR13983759,270,cattle,kodi2022
SRR13983760,270,cattle,kodi2022
SRR13983761,270,cattle,kodi2022
SRR13983762,270,cattle,kodi2022
SRR13983763,270,cattle,kodi2022
SRR13983713,56,cattle,kodi2022
SRR13983714,56,cattle,kodi2022
SRR13983715,56,cattle,kodi2022
SRR13983716,56,cattle,kodi2022
SRR13983717,56,cattle,kodi2022
SRR13983718,56,cattle,kodi2022
SRR13983720,56,cattle,kodi2022
SRR13983721,56,cattle,kodi2022
SRR13983722,56,cattle,kodi2022
SRR13983723,56,cattle,kodi2022
SRR13983679,49,cattle,kodi2022
SRR13983680,49,cattle,kodi2022
SRR13983681,49,cattle,kodi2022
SRR13983682,49,cattle,kodi2022
SRR13983683,49,cattle,kodi2022
SRR13983684,49,cattle,kodi2022
SRR13983686,49,cattle,kodi2022
SRR13983687,49,cattle,kodi2022
SRR13983688,49,cattle,kodi2022
SRR13983689,49,cattle,kodi2022
SRR13983701,35,cattle,kodi2022
SRR13983702,35,cattle,kodi2022
SRR13983767,35,cattle,kodi2022
SRR13983768,35,cattle,kodi2022
SRR13983769,35,cattle,kodi2022
SRR13983770,35,cattle,kodi2022
SRR13983772,35,cattle,kodi2022
SRR13983773,35,cattle,kodi2022
SRR13983774,35,cattle,kodi2022
SRR13983775,35,cattle,kodi2022
SRR13983787,21,cattle,kodi2022
SRR13983788,21,cattle,kodi2022
SRR13983789,21,cattle,kodi2022
SRR13983790,21,cattle,kodi2022
SRR13983791,21,cattle,kodi2022
SRR13983792,21,cattle,kodi2022
SRR13983794,21,cattle,kodi2022
SRR13983823,21,cattle,kodi2022
SRR13983830,21,cattle,kodi2022
SRR13983731,7,cattle,kodi2022
SRR13983685,7,cattle,kodi2022
SRR13983696,7,cattle,kodi2022
SRR13983708,7,cattle,kodi2022
SRR13983719,7,cattle,kodi2022
SRR13983765,7,cattle,kodi2022
SRR13983766,7,cattle,kodi2022
SRR13983771,7,cattle,kodi2022
SRR13983782,7,cattle,kodi2022
SRR13983793,7,cattle,kodi2022
SRR13983674,0,cattle,kodi2022
SRR13983795,0,cattle,kodi2022
SRR13983797,0,cattle,kodi2022
SRR13983845,0,cattle,kodi2022
SRR13983846,0,cattle,kodi2022
SRR13983847,0,cattle,kodi2022
SRR13983848,0,cattle,kodi2022
SRR13983849,0,cattle,kodi2022
SRR13983806,640,cattle,kodi2022
SRR13983808,640,cattle,kodi2022
SRR13983809,640,cattle,kodi2022
SRR13983810,640,cattle,kodi2022
SRR13983811,640,cattle,kodi2022
SRR13983812,640,cattle,kodi2022
SRR13983813,640,cattle,kodi2022
SRR13983814,640,cattle,kodi2022
