accession,day,animal,study
SRR10244790,7,cattle,ohara2020
SRR10244800,7,cattle,ohara2020
SRR10244853,7,cattle,ohara2020
SRR10244858,7,cattle,ohara2020
SRR10244874,7,cattle,ohara2020
SRR10244875,7,cattle,ohara2020
SRR10244876,7,cattle,ohara2020
SRR10244928,7,cattle,ohara2020
SRR10244939,7,cattle,ohara2020
SRR10244942,7,cattle,ohara2020
SRR10244945,7,cattle,ohara2020
SRR10244949,7,cattle,ohara2020
SRR10244787,14,cattle,ohara2020
SRR10244793,14,cattle,ohara2020
SRR10244794,14,cattle,ohara2020
SRR10244796,14,cattle,ohara2020
SRR10244808,14,cattle,ohara2020
SRR10244829,14,cattle,ohara2020
SRR10244851,14,cattle,ohara2020
SRR10244860,14,cattle,ohara2020
SRR10244861,14,cattle,ohara2020
SRR10244870,14,cattle,ohara2020
SRR10244872,14,cattle,ohara2020
SRR10244921,14,cattle,ohara2020
SRR10244930,14,cattle,ohara2020
SRR10244932,14,cattle,ohara2020
SRR10244934,14,cattle,ohara2020
SRR10244940,14,cattle,ohara2020
SRR10244947,14,cattle,ohara2020
SRR10244948,14,cattle,ohara2020
SRR10244795,21,cattle,ohara2020
SRR10244801,21,cattle,ohara2020
SRR10244803,21,cattle,ohara2020
SRR10244807,21,cattle,ohara2020
SRR10244840,21,cattle,ohara2020
SRR10244857,21,cattle,ohara2020
SRR10244863,21,cattle,ohara2020
SRR10244868,21,cattle,ohara2020
SRR10244873,21,cattle,ohara2020
SRR10244905,21,cattle,ohara2020
SRR10244922,21,cattle,ohara2020
SRR10244931,21,cattle,ohara2020
SRR10244936,21,cattle,ohara2020
SRR10244941,21,cattle,ohara2020
SRR10244950,21,cattle,ohara2020
SRR10244791,28,cattle,ohara2020
SRR10244797,28,cattle,ohara2020
SRR10244798,28,cattle,ohara2020
SRR10244799,28,cattle,ohara2020
SRR10244802,28,cattle,ohara2020
SRR10244818,28,cattle,ohara2020
SRR10244856,28,cattle,ohara2020
SRR10244862,28,cattle,ohara2020
SRR10244864,28,cattle,ohara2020
SRR10244865,28,cattle,ohara2020
SRR10244866,28,cattle,ohara2020
SRR10244867,28,cattle,ohara2020
SRR10244871,28,cattle,ohara2020
SRR10244920,28,cattle,ohara2020
SRR10244923,28,cattle,ohara2020
SRR10244929,28,cattle,ohara2020
SRR10244933,28,cattle,ohara2020
SRR10244937,28,cattle,ohara2020
SRR10244944,28,cattle,ohara2020
SRR10244951,28,cattle,ohara2020
SRR10244786,96,cattle,ohara2020
SRR10244788,96,cattle,ohara2020
SRR10244792,96,cattle,ohara2020
SRR10244804,96,cattle,ohara2020
SRR10244854,96,cattle,ohara2020
SRR10244855,96,cattle,ohara2020
SRR10244859,96,cattle,ohara2020
SRR10244869,96,cattle,ohara2020
SRR10244883,96,cattle,ohara2020
SRR10244894,96,cattle,ohara2020
SRR10244916,96,cattle,ohara2020
SRR10244924,96,cattle,ohara2020
SRR10244925,96,cattle,ohara2020
SRR10244926,96,cattle,ohara2020
SRR10244927,96,cattle,ohara2020
SRR10244935,96,cattle,ohara2020
SRR10244938,96,cattle,ohara2020
SRR10244943,96,cattle,ohara2020
SRR10244946,96,cattle,ohara2020
