asv	SRR3426343	SRR3426353	SRR3426354	SRR3426355	SRR3426358	SRR3426359	SRR3426363	SRR3426364	SRR3426366	SRR3426369	SRR3426370	SRR3426374	SRR3426375	SRR3426377	SRR3426388	SRR3426393	SRR3426394	SRR3426398	SRR3426400	SRR3426410	SRR3426417	SRR3426418	SRR3426421	SRR3426432	SRR3426436	SRR3426437	SRR3426441	SRR3426442	SRR3426443	SRR3426447	SRR3426448	SRR3426452	SRR3426453	SRR3426454	SRR3426459	SRR3426460	SRR3426464	SRR3426465	SRR3426466	SRR3426470	SRR3426471	SRR3426477	SRR3426488	SRR3426489	SRR3426490	SRR3426494	SRR3426499	SRR3426512	SRR3426513	SRR3426521	SRR3426530	SRR3426531	SRR3426532	SRR3426536	SRR3426541	SRR3426543	SRR3426546	SRR3426547	SRR3426624	SRR3426664	SRR3426665	SRR3426667	SRR3426677	SRR3426684	SRR3426688	SRR3426799	SRR3426803	SRR3426804	SRR3426807	SRR3426810	SRR3426812	SRR3426838	SRR3426842	SRR3426871	SRR3426875	SRR3426876	SRR3426877	SRR3426878	SRR3426879	SRR3426880	SRR3426882	SRR3426883	SRR3426884	SRR3426885	SRR3426888	SRR3426889	SRR3426894	SRR3426895	SRR3426902	SRR3426936	SRR3426937	SRR3426947	SRR3427000	SRR3427001	SRR3427052	SRR3427060	SRR3427082
157ddf238b9e69641f59eb250c7ef1bc	17492	5905	646	1146	11235	136	3190	209	887	1805	120	7814	838	0	13	17501	110	38	2114	1248	10382	611	0	0	6113	3334	473	16118	0	3074	1413	1271	0	782	1880	1190	808	4422	762	2463	280	231	13	2387	4735	1225	0	1843	106	5369	490	0	108	14486	10510	0	2826	5071	5	3086	0	2134	883	904	5495	10	1546	1547	529	0	1828	3060	4613	12543	18919	37101	0	14	15	0	85	1060	0	11	14932	828	5217	50	8815	1098	789	0	20891	4007	0	7631	1404
c8a9117a6ff92d4dcecbf3b32e197907	0	2	0	0	20	0	18	2	37	0	0	16	0	177	235	0	0	0	6	0	0	0	6	50322	0	0	12	13	34429	9	0	7	24	0	0	0	0	44	0	11	7	4	682	7	0	12	321	0	0	0	8	0	0	6	22	46	11	3	17	0	11	56	0	0	0	59	0	0	0	4	0	0	0	11	0	14	0	52	19	70	0	0	40697	16974	0	0	0	0	0	0	0	8097	21	16	27057	5	0
21a1ba016479d25cb15cbefa78cf0069	5640	1648	1465	108	5059	20	1473	124	362	6190	292	257	3466	0	11	2027	134	393	0	228	6587	70	14	13	1235	46	520	2464	0	904	9970	527	78	158	4340	31	13	542	614	0	893	1329	0	740	212	904	4	45	33	8398	19	17	10	2934	10108	0	7769	4067	0	935	12	369	5922	1064	1397	0	1278	65	6127	0	2926	3575	3024	9754	10332	2843	152	0	0	0	52	15	6	0	3836	26	7326	98	3477	1194	43	7	473	448	0	8442	0
fdf4e1e2341e048373b2d65140165783	0	0	7	0	54	3276	0	2	3611	0	18	9	5622	4	3	2	1382	25	104	4	8	136	508	206	4	2030	542	576	205	3	65	8	27	3475	3903	10672	0	9139	0	470	605	2635	2	7	16754	0	4	843	4520	12	4	430	21	714	0	6	2	0	4	0	3	16523	18	1355	5069	6	0	19197	0	0	0	8	0	10	4	4732	3040	5	5	7	244	3312	18	27	0	6661	0	1619	0	131	10	8	0	4348	2	0	452
661b24ce13d0f60e2f7bb6c15b3c28cb	4699	1612	26	3415	5873	722	331	1010	394	6362	193	9551	1609	0	0	5403	205	225	10	477	93	683	1406	0	58	372	6	3424	0	4433	6223	7057	0	59	1626	0	3694	17	3517	1341	5	7391	3	4535	0	3560	0	77	450	2210	44	118	4365	973	30	0	115	335	0	87	0	24	3266	1903	27	0	952	0	1522	0	35	72	353	135	90	428	75	0	0	0	2559	74	0	0	15241	12	3256	207	1226	443	32	0	2510	23	0	294	68
c042b7cab3dde157dbf667cf5a54cbeb	5737	10	3507	1674	1292	1812	115	596	875	273	1693	14	1510	0	0	6	1880	2805	4329	4515	851	9452	72	65	888	883	256	3112	46	10	2181	131	3687	843	810	702	309	3816	1219	289	2231	6839	18	177	529	255	5	427	1380	272	817	3826	1319	3123	790	5	522	527	0	2534	0	2491	784	3456	1533	27	17	3551	3793	12	1527	845	353	511	863	428	2732	8	5	5	1460	930	42	13	39	1192	546	5687	1340	1328	552	146	2803	1169	21	1696	651
cabcce663aa88b3ab9ae41323c119f8d	215	2928	190	600	4386	134	3719	0	81	3806	654	245	147	0	9	16	139	4427	262	2288	44	317	658	0	0	14492	22	540	0	80	4350	58	58	31	0	94	273	82	969	440	125	24804	0	0	140	1621	0	5521	57	172	4055	64	111	280	0	0	421	0	0	2030	0	171	1920	310	10	0	8017	5	1201	0	346	535	2640	184	199	261	137	0	0	0	2140	0	0	0	2386	94	56	63	9983	45	0	7	5931	74	0	15	35
7cdd9d489a6ed282b3fd7863f531d530	1363	132	480	0	2024	207	24474	0	1216	433	130	26	206	0	0	19	961	895	1324	872	1856	1474	0	0	645	753	121	3	0	163	0	102	474	2894	1645	211	0	258	1925	116	45	614	0	4940	1167	4054	0	345	98	109	3722	2067	247	11	7892	0	2183	6580	0	61	5	427	0	133	1037	0	0	703	0	0	372	78	78	1934	3360	384	723	0	7	0	1124	628	0	0	0	202	2	241	0	82	22	0	0	682	0	0	457
33f64ac3538fd343cf833e3335faf8af	0	0	4	0	0	0	0	0	8	0	0	0	0	7559	5370	8	0	7	0	0	0	3	0	0	0	0	2	0	13	7	0	0	0	0	0	20	0	22	0	0	9	0	0	0	0	7	6	0	2	0	0	0	3	0	0	10848	0	7	10316	0	15479	10	0	0	4	11151	0	12	0	8962	0	3	3	4	0	0	143	762	1046	16388	0	2	63	59	0	0	0	0	3	0	41	12	0	0	0	0	0
f1041b123fea6110488993aba3f2b6ee	424	8	8285	251	136	302	32	0	351	3	220	24	146	0	6	12	604	6	360	17	53	386	676	0	2616	156	100	100	0	0	4004	0	1826	45	100	188	14	2919	11	32	1763	1462	10	15	449	255	0	87	1133	3	264	144	303	128	0	0	3342	0	0	73	0	151	2276	680	972	0	8	488	3092	0	786	950	0	1196	1670	796	815	11	0	0	3621	344	0	0	11	305	14	3014	2127	1397	518	0	141	98	0	13732	137
