Accession,Calf,Time,Sample,Primer
SRR3426343,4924,4w,F,Bact
SRR3426902,4925,4w,F,Bact
SRR3426355,4926,4w,F,Bact
SRR3426410,4954,4w,F,Bact
SRR3426466,4955,4w,F,Bact
SRR3426521,4956,4w,F,Bact
SRR3426677,4970,4w,F,Bact
SRR3426876,4971,4w,F,Bact
SRR3426882,4973,4w,F,Bact
SRR3426888,5013,4w,F,Bact
SRR3426894,5015,4w,F,Bact
SRR3426935,5017,4w,F,Bact
SRR3427000,5019,4w,F,Bact
SRR3427060,5020,4w,F,Bact
SRR3426353,5022,4w,F,Bact
SRR3426358,5025,4w,F,Bact
SRR3426363,5026,4w,F,Bact
SRR3426369,5027,4w,F,Bact
SRR3426374,5028,4w,F,Bact
SRR3426393,5031,4w,F,Bact
SRR3426398,5032,4w,F,Bact
SRR3426417,5034,4w,F,Bact
SRR3426436,5035,4w,F,Bact
SRR3426441,5037,4w,F,Bact
SRR3426447,5038,4w,F,Bact
SRR3426452,5039,4w,F,Bact
SRR3426459,5041,4w,F,Bact
SRR3426464,5042,4w,F,Bact
SRR3426470,5044,4w,F,Bact
SRR3426489,5045,4w,F,Bact
SRR3426494,5046,4w,F,Bact
SRR3426512,5047,4w,F,Bact
SRR3426530,5048,4w,F,Bact
SRR3426536,5049,4w,F,Bact
SRR3426540,5050,4w,F,Bact
SRR3426546,5051,4w,F,Bact
SRR3426664,5052,4w,F,Bact
SRR3426684,5053,4w,F,Bact
SRR3426803,5054,4w,F,Bact
SRR3426807,5055,4w,F,Bact
SRR3426812,5057,4w,F,Bact
SRR3426838,5058,4w,F,Bact
SRR3426842,5059,4w,F,Bact
SRR3426871,5062,4w,F,Bact
SRR3426875,5063,4w,F,Bact
SRR3426454,4924,8w,F,Bact
SRR3426665,4924,8w,L,Bact
SRR3426880,4924,8w,S,Bact
SRR3426936,4925,8w,F,Bact
SRR3426947,4925,8w,L,Bact
SRR3427052,4925,8w,S,Bact
SRR3426366,4926,8w,F,Bact
SRR3426377,4926,8w,L,Bact
SRR3426388,4926,8w,S,Bact
SRR3426421,4954,8w,F,Bact
SRR3426432,4954,8w,L,Bact
SRR3426443,4954,8w,S,Bact
SRR3426477,4955,8w,F,Bact
SRR3426488,4955,8w,L,Bact
SRR3426499,4955,8w,S,Bact
SRR3426532,4956,8w,F,Bact
SRR3426543,4956,8w,L,Bact
SRR3426624,4956,8w,S,Bact
SRR3426688,4970,8w,F,Bact
SRR3426799,4970,8w,L,Bact
SRR3426810,4970,8w,S,Bact
SRR3426877,4971,8w,F,Bact
SRR3426878,4971,8w,L,Bact
SRR3426879,4971,8w,S,Bact
SRR3426883,4973,8w,F,Bact
SRR3426884,4973,8w,L,Bact
SRR3426885,4973,8w,S,Bact
SRR3426889,5013,8w,F,Bact
SRR3426895,5015,8w,F,Bact
SRR3426937,5017,8w,F,Bact
SRR3427001,5019,8w,F,Bact
SRR3427082,5020,8w,F,Bact
SRR3426354,5022,8w,F,Bact
SRR3426359,5025,8w,F,Bact
SRR3426364,5026,8w,F,Bact
SRR3426370,5027,8w,F,Bact
SRR3426375,5028,8w,F,Bact
SRR3426394,5031,8w,F,Bact
SRR3426400,5032,8w,F,Bact
SRR3426418,5034,8w,F,Bact
SRR3426437,5035,8w,F,Bact
SRR3426442,5037,8w,F,Bact
SRR3426448,5038,8w,F,Bact
SRR3426453,5039,8w,F,Bact
SRR3426460,5041,8w,F,Bact
SRR3426465,5042,8w,F,Bact
SRR3426471,5044,8w,F,Bact
SRR3426490,5045,8w,F,Bact
SRR3426513,5047,8w,F,Bact
SRR3426531,5048,8w,F,Bact
SRR3426541,5050,8w,F,Bact
SRR3426547,5051,8w,F,Bact
SRR3426667,5052,8w,F,Bact
SRR3426685,5053,8w,F,Bact
SRR3426804,5054,8w,F,Bact
