accession,treatment,study,sample
SRR8084822,cow,li2021,"Animal ID 432, liquid, period 2, Low pH"
SRR8084823,cow,li2021,"Animal ID 432, Solid, period 2, Low pH"
SRR8084824,cow,li2021,"Animal ID 427, liquid, period 2, Low pH"
SRR8084825,cow,li2021,"Animal ID 427, Solid, period 2, Low pH"
SRR8084826,cow,li2021,"Animal ID 428, liquid, period 1, Control"
SRR8084827,cow,li2021,"Animal ID 428, Solid, period 1, Control"
SRR8084828,cow,li2021,"Animal ID 428, liquid, period 2, Low pH"
SRR8084829,cow,li2021,"Animal ID 428, Solid, period 2, Low pH"
SRR8084830,cow,li2021,"Animal ID 431, liquid, period 2, Control"
SRR8084831,cow,li2021,"Animal ID 431, Solid, period 2, Control"
SRR8084832,cow,li2021,"Animal ID 439, liquid, period 1, Low pH"
SRR8084833,cow,li2021,"Animal ID 439, Solid, period 1, Low pH"
SRR8084834,cow,li2021,"Animal ID 431, liquid, period 1, Low pH"
SRR8084835,cow,li2021,"Animal ID 431, Solid, period 1, Low pH"
SRR8084836,cow,li2021,"Animal ID 432, liquid, period 1, Control"
SRR8084837,cow,li2021,"Animal ID 432, Solid, period 1, Control"
SRR8084838,cow,li2021,"Animal ID 430, liquid, period 1, Low pH"
SRR8084839,cow,li2021,"Animal ID 430, Solid, period 1, Low pH"
SRR8084840,cow,li2021,"Animal ID 427, liquid, period 1, Control"
SRR8084841,cow,li2021,"Animal ID 427, Solid, period 1, Control"
SRR8084842,cow,li2021,"Animal ID 430, Solid, period 2, Control"
SRR8084843,cow,li2021,"Animal ID 430, liquid, period 2, Control"
SRR8084844,cow,li2021,"Animal ID 439, Solid, period 2, Control"
SRR8084845,cow,li2021,"Animal ID 439, liquid, period 2, Control"
SRR13825328,calf,park2022,Rumen liquid RNAseq_10
SRR13825329,calf,park2022,Rumen liquid RNAseq_9
SRR13825330,calf,park2022,Rumen liquid RNAseq_8
SRR13825331,calf,park2022,Rumen liquid RNAseq_7
SRR13825332,calf,park2022,Rumen liquid RNAseq_6
SRR13825333,calf,park2022,Rumen liquid RNAseq_5
SRR13825334,calf,park2022,Rumen liquid RNAseq_4
SRR13825339,calf,park2022,Rumen liquid RNAseq_3
SRR13825340,calf,park2022,Rumen liquid RNAseq_20
SRR13825341,calf,park2022,Rumen liquid RNAseq_19
SRR13825342,calf,park2022,Rumen liquid RNAseq_18
SRR13825343,calf,park2022,Rumen liquid RNAseq_17
SRR13825344,calf,park2022,Rumen liquid RNAseq_16
SRR13825345,calf,park2022,Rumen liquid RNAseq_15
SRR13825346,calf,park2022,Rumen liquid RNAseq_14
SRR13825347,calf,park2022,Rumen liquid RNAseq_13
SRR13825348,calf,park2022,Rumen liquid RNAseq_12
SRR13825349,calf,park2022,Rumen liquid RNAseq_11
SRR13825350,calf,park2022,Rumen liquid RNAseq_2
SRR13825351,calf,park2022,Rumen liquid RNAseq_1
