Strain 1	Strain 2	Initial divergence raw	Initial divergence	Alignment size raw	Alignment size	Genome 1 size	Genome 2 size	Observed SSD	SSD 95 CI low	SSD 95 CI high	mu_div	mnb_div	sim_fr	nb_size	hmm_fr	hmm_mu	hmm_mnb
10675_min2k_bin.2134	Megasphaera_elsdenii_pig_ASM1292852v1	0.016229369013476335	0.009957679706115965	1713745	1611520	1807855	2559133	22.279993894595492	17.911556122505758	26.521410131969617	0.005520299712072142	0.03290706618757268	39.01188419810375	2.0	37.69266697804764	0.004919508995502365	0.03489529546513877
10675_min2k_bin.2134	Megasphaera_elsdenii_2410	0.016189711290527115	0.009843286086476683	1703304	1600177	1807855	2566193	31.753792342256727	23.81290369779296	40.1957880657134	0.004911070723363667	0.03175348561246094	42.126031167549456	2.0	37.34140037593985	0.004658385675447807	0.03553073976693584
10675_min2k_bin.2134	Megasphaera_elsdenii_DSM20460	0.01171952190498422	0.0064788649367587626	1730702	1628526	1807855	2478942	271.749646643055	170.15386198256974	443.584651233382	0.0017149713846764806	0.021828643498608566	49.55148285532935	2.0	49.47103711411724	0.0013086207882844285	0.02235301807668338
10675_min2k_bin.2134	bin.153	0.012700431927104905	0.007451713223957205	1690100	1596814	1807855	2143630	92.80194070843632	62.58320895463097	158.40634396775863	0.00318403521230519	0.026387439231043256	41.010979787488445	2.0	35.233697421780185	0.0031712979890312306	0.030209297885177275
Megasphaera_elsdenii_pig_ASM1292852v1	Megasphaera_elsdenii_2410	0.01701156096665516	0.011240755450331994	2053721	1945065	2559133	2566193	26.097785846706294	22.493922922485087	31.345115842703017	0.005362198244057119	0.03203348129622525	43.66444068588517	2.0	40.11837490257209	0.004906243644498847	0.03508664108184694
Megasphaera_elsdenii_pig_ASM1292852v1	Megasphaera_elsdenii_DSM20460	0.016893713434929028	0.011000459629232419	2036438	1925465	2559133	2478942	25.50722870677848	22.070895685878142	28.868392544237476	0.005400108592767655	0.03280682410118495	41.99483767623797	2.0	39.15991156963891	0.004914405684754637	0.03550605051116923
Megasphaera_elsdenii_pig_ASM1292852v1	bin.153	0.017346750524966106	0.010883847291283657	1956793	1845579	2559133	2143630	25.506364843497472	21.29543108714169	30.46975718089142	0.005531622665306683	0.03505359647340799	40.04334198550573	2.0	33.86251501904543	0.005479958254416375	0.040507985314861925
Megasphaera_elsdenii_2410	Megasphaera_elsdenii_DSM20460	0.015988220393725442	0.009730837677323322	2127066	1999314	2566193	2478942	147.60883932224425	27.661362775096773	1311.1115823957875	0.004036133243906049	0.030106510833468353	45.82465968149183	2.0	43.313030595207294	0.003609790499896323	0.032190130820792084
Megasphaera_elsdenii_2410	bin.153	0.016735439404525067	0.01003937029395976	1952324	1829298	2566193	2143630	32.55891608727006	27.27154415988793	40.20903145983181	0.004855267419997851	0.03271110179596348	42.689970314736364	2.0	38.20846571692119	0.004606982915906604	0.03635408237230906
Megasphaera_elsdenii_DSM20460	bin.153	0.013201845557954813	0.006810054619781402	1984874	1851527	2478942	2143630	176.69125891205974	106.8426165642945	273.69642263716844	0.0026159452234099973	0.028239599283011292	41.11000251239694	2.0	41.40225308097482	0.002198615113328505	0.028737680221999382
