user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
114501.163	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.74	0.82	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.74	0.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 82.07, 0.56; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.71, 0.48; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.51, 0.55; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.39, 0.38; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 79.33, 0.35; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.17, 0.43; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 79.13, 0.39; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 79.07, 0.41; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 78.97, 0.42; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.52, 0.26; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.11, 0.28; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.77, 0.26; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.55, 0.29	88.79	11	N/A	N/A
114496.19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.85	0.78	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.85	0.78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.96, 0.52; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.38, 0.5; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.12, 0.42; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 79.35, 0.3; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.3, 0.34; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.14, 0.42; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 78.98, 0.39; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 78.93, 0.37; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 78.87, 0.37; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.42, 0.27; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.27, 0.24; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.56, 0.26; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.35, 0.28	84.29	11	N/A	N/A
114499.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.76	0.72	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.76	0.72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.73, 0.51; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.47, 0.49; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.01, 0.45; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.23, 0.38; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.16, 0.34; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 78.96, 0.35; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 78.93, 0.34; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 78.89, 0.37; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 78.65, 0.35; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.49, 0.24; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.27, 0.29; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.52, 0.23; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.35, 0.27	76.21	11	N/A	N/A
114497.28	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.38	0.83	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.38	0.83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.75, 0.55; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.6, 0.53; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.57, 0.45; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 79.4, 0.41; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 79.18, 0.42; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.15, 0.42; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.08, 0.38; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 79.07, 0.36; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 79.04, 0.42; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.56, 0.28; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 77.93, 0.25; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.49, 0.28; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.46, 0.26; GCA_003520555.1, s__Ruminococcus_E sp003520555, 95.0, 76.93, 0.13	75.08	11	N/A	N/A
114506.4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.84	0.81	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.84	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.85, 0.54; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.5, 0.52; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.07, 0.48; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.38, 0.41; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.18, 0.39; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 79.16, 0.39; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 79.05, 0.38; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 78.86, 0.37; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 78.85, 0.41; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.29, 0.3; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.21, 0.25; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.5, 0.25; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.4, 0.29	75.65	11	N/A	N/A
114495.248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.5	0.81	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.5	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.87, 0.54; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.59, 0.54; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.21, 0.48; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 79.46, 0.36; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 79.35, 0.4; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.34, 0.37; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 79.33, 0.4; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.17, 0.42; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 79.0, 0.38; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.62, 0.27; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.4, 0.28; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 78.06, 0.28; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.53, 0.29	87.86	11	N/A	N/A
114498.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.64	0.81	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.64	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.96, 0.54; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.61, 0.52; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.52, 0.43; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.45, 0.36; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 79.41, 0.4; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 79.34, 0.34; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.14, 0.41; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 78.92, 0.4; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 78.67, 0.39; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.64, 0.25; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.42, 0.26; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.92, 0.26; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.17, 0.3	92.38	11	N/A	N/A
114504.133	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.85	0.81	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.85	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 82.05, 0.54; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.56, 0.52; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 79.82, 0.47; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.37, 0.43; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 79.08, 0.41; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 78.97, 0.41; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 78.94, 0.36; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 78.92, 0.35; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 78.84, 0.37; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.13, 0.26; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.03, 0.25; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.42, 0.29; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.26, 0.25; GCA_003520555.1, s__Ruminococcus_E sp003520555, 95.0, 76.99, 0.15	75.81	11	N/A	N/A
114503.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.55	0.81	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.55	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.74, 0.54; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.22, 0.53; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.08, 0.45; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.19, 0.35; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.15, 0.4; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 79.15, 0.38; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 79.1, 0.34; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 79.04, 0.41; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 78.91, 0.38; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.24, 0.27; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.22, 0.24; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.55, 0.25; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.43, 0.28	76.35	11	N/A	N/A
114502.42	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	GCA_900317315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.62	0.85	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	97.62	0.85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 81.7, 0.58; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 80.6, 0.56; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 80.56, 0.41; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 79.54, 0.36; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 79.45, 0.39; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 79.18, 0.42; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 79.13, 0.4; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 79.12, 0.29; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 79.08, 0.45; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 78.96, 0.41; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.52, 0.27; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.85, 0.26; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.53, 0.3; GCA_003520555.1, s__Ruminococcus_E sp003520555, 95.0, 77.2, 0.27	89.78	11	N/A	N/A
