Strain 1	Strain 2	Initial divergence raw	Initial divergence	Alignment size raw	Alignment size	Genome 1 size	Genome 2 size	Observed SSD	SSD 95 CI low	SSD 95 CI high	mu_div	mnb_div	sim_fr	nb_size	hmm_fr	hmm_mu	hmm_mnb
Megasphaera_hexanoica_MH	bin.95	0.009568732974346945	0.0050527416817447565	2255053	2133891	2877851	2396802	194.2027898045945	93.73177580692564	338.46815390187066	0.0024662988284799062	0.02459142061478175	32.10554541702682	2.0	32.08082869374265	0.002133442194644117	0.02531091072317347
Megasphaera_hexanoica_MH	10676_min2k_bin.723	0.008960024207048351	0.00504168232978794	2048990	1944589	2877851	2172744	170.34912447422295	84.23163494300175	315.00183232116774	0.0024876235560634796	0.02199663446545682	33.041283084023675	2.0	31.649617929249775	0.002205236275315291	0.023472625047139394
Megasphaera_hexanoica_MH	Megasphaera_hexanoica_pig_ASM1284350v1	0.012035959285767355	0.006739031621714186	2341982	2213226	2877851	2727761	45.467944912581686	33.220137484687214	62.2525817101548	0.003659989763893601	0.029844495823559542	31.926418195449457	2.0	31.46451378654877	0.003298139549378202	0.031044367639162476
Megasphaera_hexanoica_MH	114505.162	0.011461152205604449	0.007132411120003224	2315125	2207949	2877851	2602041	29.190207003658923	23.618632849620084	37.29273014097936	0.004075440123279867	0.02639335972688136	33.02573266801744	2.0	32.367556823092215	0.0036038718333705148	0.027855823725925266
bin.95	10676_min2k_bin.723	0.0035056010266507967	0.0015415731576424272	2041590	1885736	2396802	2172744	1390.466432503241	963.7777759919268	2012.905694661261	0.00037459824922185856	0.011309280516917108	28.46544208907892	2.0	25.594785975056965	0.00033075377877301096	0.012595017763312472
bin.95	Megasphaera_hexanoica_pig_ASM1284350v1	0.01307877404850936	0.006224500900857326	2212975	2067475	2396802	2727761	45.30955890178449	32.06196978415632	60.97805057871018	0.0038263711314828414	0.03831007091393137	26.887552841489764	2.0	30.297687665287853	0.0032373447481919685	0.035669409273705995
bin.95	114505.162	0.01089219436023083	0.00662353740954089	2156223	2056454	2396802	2602041	29.212466291117785	24.265705855834554	35.24589724092934	0.0039690173289195375	0.026891434300297876	30.162797498949885	2.0	30.139655732380643	0.003509464036660614	0.027978487129010795
10676_min2k_bin.723	Megasphaera_hexanoica_pig_ASM1284350v1	0.010422016057805369	0.006190241609207044	2050467	1954851	2172744	2727761	37.97827593138285	27.93084741762782	51.47087516115088	0.0037314044601881383	0.026952241594110315	28.795660579918817	2.0	28.650191505452415	0.003331623756282663	0.028088346359999346
10676_min2k_bin.723	114505.162	0.010698285451456986	0.0065993263209246705	2026306	1935046	2172744	2602041	27.600196749834314	22.049754299253326	36.23036047916251	0.003974506575139879	0.026297746868352196	30.12022107007074	2.0	30.11503900464106	0.00349994701331728	0.027397790332713393
Megasphaera_hexanoica_pig_ASM1284350v1	114505.162	0.011515880217007621	0.00678058690744921	2332084	2215000	2727761	2602041	32.953834840466264	24.922463729789445	40.72268725181019	0.003885029914009865	0.028921755041605185	30.437949384448174	2.0	30.673701820989642	0.0034449600891032816	0.029720987008320078
